iter	RMSE
0	12.02276889
1	11.66103619
2	11.2995136
3	10.95528248
4	10.62643402
5	10.33131393
6	10.03288139
7	9.748246524
8	9.477712548
9	9.215957708
10	8.968162251
11	8.714063841
12	8.482458698
13	8.237467998
14	7.993659069
15	7.802242873
16	7.63416897
17	7.428085359
18	7.221017539
19	7.032470472
20	6.821237244
21	6.628664623
22	6.458390307
23	6.2984129
24	6.136255137
25	5.968530899
26	5.818833426
27	5.668797307
28	5.517859241
29	5.389846951
30	5.260180242
31	5.129379969
32	5.007018153
33	4.880663637
34	4.7708018
35	4.654212119
36	4.551268357
37	4.453181327
38	4.351756469
39	4.255039307
40	4.169734909
41	4.100444433
42	4.004650348
43	3.902999321
44	3.820111376
45	3.735444421
46	3.651026234
47	3.566792831
48	3.49165525
49	3.424835421
50	3.357383138
51	3.2925894
52	3.233325743
53	3.175543078
54	3.115180809
55	3.05070277
56	2.994417637
57	2.939169627
58	2.89261685
59	2.837054423
60	2.790252916
61	2.744982024
62	2.699910745
63	2.65688686
64	2.614015367
65	2.570595655
66	2.5216695
67	2.478078954
68	2.437061475
69	2.390772247
70	2.348685613
71	2.315969109
72	2.28202755
73	2.245337715
74	2.214576326
75	2.184228498
76	2.155482501
77	2.129471676
78	2.10110549
79	2.07426615
80	2.04667613
81	2.023225459
82	1.999297951
83	1.974573126
84	1.953322793
85	1.926634624
86	1.90154533
87	1.877214853
88	1.857670721
89	1.835341108
90	1.814395047
91	1.794454575
92	1.773894658
93	1.753360711
94	1.737786669
95	1.717021261
96	1.699071116
97	1.68508414
98	1.66955058
99	1.651355863
100	1.640009853
101	1.627357195
102	1.616260823
103	1.60066832
104	1.590501712
105	1.578910116
106	1.565880802
107	1.554111285
108	1.542417388
109	1.529501832
110	1.516813253
111	1.503991927
112	1.494285009
113	1.484701714
114	1.479791854
115	1.471000276
116	1.460256727
117	1.449053365
118	1.442772103
119	1.43271682
120	1.425617731
121	1.416594865
122	1.409218338
123	1.401469234
124	1.389883299
125	1.382186145
126	1.375337147
127	1.368999167
128	1.360377722
129	1.351867281
130	1.344384487
131	1.337476441
132	1.331227007
133	1.324407612
134	1.317572505
135	1.308576202
136	1.300662909
137	1.295203339
138	1.290936385
139	1.286140844
140	1.279762124
141	1.272929498
142	1.268035562
143	1.262467183
144	1.257027786
145	1.251119211
146	1.246696017
147	1.239874264
148	1.234919056
149	1.230676577
150	1.227944332
151	1.225524236
152	1.219469483
153	1.213525841
154	1.207758834
155	1.203373167
156	1.199033903
157	1.19274558
158	1.188509474
159	1.185208285
160	1.180495916
161	1.174945782
162	1.17265099
163	1.168033723
164	1.16390401
165	1.160522587
166	1.155037806
167	1.150115874
168	1.147005745
169	1.143770312
170	1.140212065
171	1.134157083
172	1.128236438
173	1.125227347
174	1.123156355
175	1.118766503
